epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.55654,1.19382,2.2025,1.28047,0.01027,1,0.80331,0.61067,0.71548,2.2527,0.92905,0.00028,0.00028,0.00028
2,6.69462,1.10311,1.38445,1.18556,0.92574,0.81818,0.88258,0.61734,0.95485,1.48634,1.00181,0.00053215,0.00053215,0.00053215
3,9.6352,0.93744,1.28473,1.10795,0.90855,0.77424,0.82189,0.57973,1.07366,1.41472,1.10802,0.0007348,0.0007348,0.0007348
4,12.2879,0.9179,1.14655,1.07568,0.92691,0.82358,0.88768,0.66864,0.87164,1.09956,1.00228,0.00088795,0.00088795,0.00088795
5,17.2815,0.92467,1.18978,1.07147,0.91122,0.75325,0.86654,0.65105,0.88498,1.18433,1.03281,0.0009916,0.0009916,0.0009916
6,19.4644,0.91479,1.10695,1.03942,0.93809,0.78725,0.88771,0.66436,0.87583,1.0895,1.00868,0.00104575,0.00104575,0.00104575
7,21.3104,0.88224,1.06855,1.05099,0.86407,0.85714,0.90758,0.69138,0.87092,1.03245,1.02985,0.00101,0.00101,0.00101
8,23.2362,0.87093,1.02963,1.04051,0.96364,0.81818,0.9356,0.68935,0.93429,1.0085,1.04785,0.000845,0.000845,0.000845
9,25.1161,0.82373,0.95257,1.01947,0.94495,0.8918,0.95516,0.74341,0.83335,0.86266,0.97005,0.00068,0.00068,0.00068
10,28.4009,0.74941,0.91105,1.01787,0.97207,0.90416,0.96604,0.78819,0.7245,0.80962,0.93661,0.000515,0.000515,0.000515
11,30.7281,0.77664,0.91212,0.99351,0.94066,0.8961,0.96913,0.8007,0.68758,0.80553,0.92249,0.00035,0.00035,0.00035
12,32.6263,0.71252,0.86855,0.98269,0.97134,0.88032,0.97295,0.8077,0.66788,0.78325,0.91029,0.000185,0.000185,0.000185
