epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1732,1.00976,3.59861,1.30655,0.25367,0.27828,0.21689,0.17582,0.71923,2.50696,1.08854,0.000273643,0.000273643,0.000273643
2,22.0106,0.89771,2.80204,1.20918,0.18632,0.42854,0.2907,0.22204,0.84452,2.24877,1.20528,0.000520987,0.000520987,0.000520987
3,30.4061,0.92159,2.53955,1.20087,0.39182,0.45896,0.42653,0.32357,0.79229,2.15768,1.13759,0.000737789,0.000737789,0.000737789
4,40.8332,0.92542,2.34514,1.18884,0.48634,0.5515,0.51731,0.41255,0.76183,2.12852,1.11281,0.000695555,0.000695555,0.000695555
5,51.3528,0.90091,2.17448,1.15486,0.37662,0.61955,0.54277,0.43277,0.78432,2.54391,1.13022,0.00064974,0.00064974,0.00064974
6,60.2793,0.87671,2.00759,1.1622,0.62824,0.53844,0.59841,0.49618,0.73354,1.51746,1.06665,0.000603925,0.000603925,0.000603925
7,70.3591,0.83593,1.83436,1.12535,0.58441,0.69371,0.71557,0.59265,0.67967,1.35346,1.06692,0.00055811,0.00055811,0.00055811
8,81.8048,0.83479,1.76616,1.12193,0.49733,0.74981,0.68747,0.56452,0.64224,1.41614,1.02495,0.000512295,0.000512295,0.000512295
9,92.53,0.62984,1.68451,1.02627,0.53824,0.66331,0.66494,0.56121,0.62621,1.39817,1.00448,0.00046648,0.00046648,0.00046648
10,101.316,0.59536,1.55324,0.99066,0.57156,0.82937,0.72595,0.61166,0.60885,1.18856,0.99713,0.000420665,0.000420665,0.000420665
11,111.475,0.57534,1.43678,0.97961,0.70071,0.70814,0.79231,0.6634,0.59205,1.12698,0.99849,0.00037485,0.00037485,0.00037485
12,119.825,0.53382,1.35002,0.96191,0.76133,0.7615,0.8269,0.70049,0.60473,0.99547,0.98856,0.000329035,0.000329035,0.000329035
13,129.385,0.51206,1.30622,0.94836,0.62279,0.81929,0.80311,0.70132,0.5506,1.01702,0.96556,0.00028322,0.00028322,0.00028322
14,139.596,0.48843,1.14366,0.9232,0.69935,0.88731,0.85551,0.74998,0.55937,0.93841,0.97297,0.000237405,0.000237405,0.000237405
15,148.466,0.49408,1.14371,0.93677,0.80006,0.85896,0.86727,0.75444,0.52257,0.84831,0.95623,0.00019159,0.00019159,0.00019159
16,158.616,0.44333,1.09082,0.91824,0.78312,0.8099,0.86109,0.75713,0.53907,0.85641,0.96832,0.000145775,0.000145775,0.000145775
17,168.666,0.44295,1.02293,0.89868,0.79298,0.85272,0.86627,0.7738,0.5055,0.80784,0.9346,9.996e-05,9.996e-05,9.996e-05
18,176.934,0.43317,0.99054,0.90946,0.82862,0.88933,0.87685,0.78459,0.48971,0.77856,0.92059,5.4145e-05,5.4145e-05,5.4145e-05
